Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations
2025,12,Asia,Model 3,8406,8796,70798.2,82,463,583.8,Official (Quarter),13617
2019,7,North America,Cybertruck,9864,11217,64820.01,75,417,616.99,Interpolated (Month),12107
2016,2,Middle East,Model Y,11285,12244,101691.44,82,487,824.37,Estimated (Region),7849
2019,6,Europe,Model Y,8596,9054,97775.82,60,349,450.0,Official (Quarter),11583
2023,4,Middle East,Cybertruck,14542,16097,69145.2,82,455,992.49,Interpolated (Month),9672
2020,8,Asia,Model X,11637,11652,64097.94,75,448,782.01,Interpolated (Month),10360
2023,9,Middle East,Model Y,16368,18329,116163.28,82,475,1166.22,Interpolated (Month),6055
2015,1,Middle East,Model Y,10348,10835,85599.95,82,488,757.47,Estimated (Region),5991
2017,7,Asia,Model Y,8745,9321,92738.27,60,334,438.12,Official (Quarter),11083
2017,9,North America,Model Y,14122,16111,94546.2,100,566,1198.96,Estimated (Region),6234
2020,9,Asia,Cybertruck,4927,5124,85637.94,100,557,411.65,Estimated (Region),10339
2018,12,Asia,Model X,13841,14984,60720.12,82,480,996.55,Interpolated (Month),10203
2018,4,North America,Model Y,14998,15028,55711.91,120,675,1518.55,Interpolated (Month),3334
2024,4,Asia,Model Y,12693,13879,95107.73,75,439,835.83,Interpolated (Month),6511
2019,12,Middle East,Model 3,16992,17643,75519.65,82,485,1236.17,Interpolated (Month),5339
2020,4,Asia,Model Y,12896,14568,71655.8,82,479,926.58,Official (Quarter),3193
2018,6,Asia,Cybertruck,8089,8151,77845.54,75,431,522.95,Interpolated (Month),8799
2021,2,North America,Model Y,12392,14134,87091.29,60,348,646.86,Interpolated (Month),8789
2024,10,Middle East,Model X,11341,11531,90118.95,100,589,1001.98,Official (Quarter),7400
2021,12,Asia,Model S,14275,15487,83022.94,82,471,1008.53,Interpolated (Month),11786
2023,9,Europe,Cybertruck,10505,11889,74982.21,82,463,729.57,Interpolated (Month),5566
2019,12,Asia,Model S,16654,18544,92470.13,75,418,1044.21,Estimated (Region),12569
2025,11,Europe,Model 3,7803,8201,72269.28,60,358,419.02,Interpolated (Month),12468
2015,11,Middle East,Cybertruck,12029,12315,111660.95,100,593,1069.98,Interpolated (Month),3350
2017,7,North America,Model 3,19455,21752,81804.18,100,581,1695.5,Estimated (Region),5980
2018,2,Middle East,Model S,5162,5239,51161.47,100,583,451.42,Estimated (Region),10229
2020,6,Middle East,Model X,14735,15380,62093.01,120,682,1507.39,Interpolated (Month),13930
2016,4,North America,Model Y,16513,16988,72636.01,75,420,1040.32,Interpolated (Month),7259
2023,1,Middle East,Cybertruck,16007,16938,76317.19,82,477,1145.3,Official (Quarter),8937
2022,3,Asia,Model 3,9544,10884,76473.74,60,347,496.77,Interpolated (Month),12504
2023,3,Middle East,Model 3,10215,11462,104380.22,82,483,740.08,Estimated (Region),11496
2018,11,Europe,Cybertruck,7886,8591,107006.87,100,569,673.07,Estimated (Region),4587
2019,12,Europe,Model 3,8432,8904,60598.73,75,442,559.04,Interpolated (Month),11486
2016,6,North America,Cybertruck,13984,15294,76735.77,100,560,1174.66,Official (Quarter),4456
2019,1,Middle East,Cybertruck,7244,7617,109643.39,82,473,513.96,Estimated (Region),9176
2018,3,North America,Cybertruck,1627,1708,77620.06,82,472,115.19,Estimated (Region),4936
2017,9,Europe,Model X,7844,7883,111543.0,75,421,495.35,Official (Quarter),9688
2024,9,North America,Model S,10739,12336,118825.12,75,436,702.33,Estimated (Region),8314
2024,3,Asia,Model S,9135,9417,117887.45,100,551,755.01,Estimated (Region),12429
2021,2,Europe,Model Y,16194,17499,108854.96,60,331,804.03,Official (Quarter),7401
2019,7,North America,Model S,10429,10716,57395.52,82,484,757.15,Official (Quarter),9945
2025,10,North America,Model S,834,903,67041.78,75,414,51.79,Estimated (Region),14270
2019,11,Asia,Model S,12742,13960,106127.81,120,687,1313.06,Interpolated (Month),7339
2019,1,Middle East,Model 3,16394,17095,94153.93,120,687,1689.4,Estimated (Region),8784
2020,9,Middle East,Model X,7019,8016,79635.06,75,412,433.77,Estimated (Region),8308
2015,10,Asia,Model X,9719,10041,119136.76,82,489,712.89,Interpolated (Month),3473
2015,9,Asia,Cybertruck,10844,12086,59807.92,60,356,579.07,Interpolated (Month),8849
2020,9,North America,Cybertruck,13042,14469,78765.3,75,436,852.95,Estimated (Region),11391
2019,5,Middle East,Model Y,10628,11626,55269.51,120,666,1061.74,Estimated (Region),3591
2021,10,North America,Model X,14290,16239,51262.24,120,693,1485.45,Official (Quarter),12448
2025,8,North America,Model X,5547,5600,73125.04,120,673,559.97,Estimated (Region),13667
2019,4,Asia,Model Y,2017,2031,77040.14,100,567,171.55,Estimated (Region),6787
2017,10,Europe,Model Y,5477,6185,112026.54,120,671,551.26,Estimated (Region),11849
2015,7,Europe,Model Y,12003,13676,88973.4,120,694,1249.51,Estimated (Region),6359
2016,6,North America,Model S,8538,8629,50847.59,60,358,458.49,Estimated (Region),11850
2022,10,Asia,Model X,15871,17003,87563.63,120,706,1680.74,Interpolated (Month),10935
2019,1,Europe,Model S,16562,17052,106362.21,60,335,832.24,Official (Quarter),4019
2019,8,Middle East,Model X,7950,8493,86261.07,75,412,491.31,Interpolated (Month),8072
2016,4,Europe,Model X,5161,5521,54209.96,100,578,447.46,Official (Quarter),14491
2017,8,Middle East,Model X,6555,7430,102498.45,75,446,438.53,Estimated (Region),12104
2016,8,North America,Model Y,13536,15492,89211.77,100,596,1210.12,Interpolated (Month),3627
2020,12,North America,Model S,385,400,92280.35,100,593,34.25,Interpolated (Month),14986
2025,9,Middle East,Cybertruck,7166,7176,66599.21,75,421,452.53,Official (Quarter),8064
2022,2,Europe,Model 3,10944,11395,55575.16,60,342,561.43,Estimated (Region),9651
2015,9,Middle East,Model X,3159,3625,86798.31,82,458,217.02,Interpolated (Month),6267
2016,10,Europe,Model 3,10280,10378,108196.15,100,579,892.82,Estimated (Region),4379
2025,7,Asia,Model S,8354,8972,70719.48,100,566,709.25,Interpolated (Month),14531
2023,2,Europe,Cybertruck,6820,7637,90643.38,100,588,601.52,Estimated (Region),6992
2018,10,North America,Model S,5201,5401,102648.0,120,690,538.3,Interpolated (Month),6850
2020,4,Asia,Model S,11089,11641,102110.95,75,418,695.28,Interpolated (Month),4563
2015,10,North America,Cybertruck,6202,6819,115578.08,60,351,326.54,Estimated (Region),5579
2025,6,Asia,Model S,11262,12586,112804.29,100,571,964.59,Estimated (Region),5808
2023,12,North America,Model S,8896,9145,104131.28,75,430,573.79,Estimated (Region),7213
2022,8,Europe,Model Y,1388,1438,77895.14,60,330,68.71,Interpolated (Month),12269
2025,12,Middle East,Model S,9394,10078,82633.32,120,699,984.96,Interpolated (Month),4241
2022,2,North America,Model X,13191,13201,89537.34,82,464,918.09,Interpolated (Month),6872
2018,11,Asia,Model S,7542,7881,94995.65,60,348,393.69,Interpolated (Month),11352
2019,2,Middle East,Model Y,6476,7157,78751.21,75,431,418.67,Estimated (Region),3088
2023,6,Europe,Model Y,9414,10245,59743.15,60,330,465.99,Estimated (Region),5943
2017,1,Europe,Cybertruck,6240,6540,83350.59,120,673,629.93,Interpolated (Month),10685
2018,10,Europe,Model Y,11109,11914,119082.72,82,481,801.51,Interpolated (Month),5983
2021,1,Asia,Model X,10798,11052,98343.59,120,690,1117.59,Official (Quarter),10807
2019,5,Asia,Model Y,12863,13082,95073.56,82,485,935.78,Interpolated (Month),9928
2024,12,Europe,Model 3,5881,6734,106798.53,120,666,587.51,Estimated (Region),4461
2025,7,Middle East,Model S,17474,19836,68258.46,120,712,1866.22,Interpolated (Month),10730
2024,8,Middle East,Cybertruck,7408,8406,90693.75,100,567,630.05,Estimated (Region),5791
2025,1,North America,Model S,5949,6096,64285.11,120,701,625.54,Estimated (Region),14004
2024,4,Asia,Model S,6656,6776,110526.14,75,431,430.31,Estimated (Region),9865
2015,6,Middle East,Model Y,22315,22673,81318.87,82,472,1579.9,Interpolated (Month),5909
2022,6,Europe,Model Y,13128,13872,50567.57,120,660,1299.67,Estimated (Region),8526
2016,3,North America,Model 3,15502,16256,75652.31,100,569,1323.1,Estimated (Region),11345
2024,8,Asia,Model X,13506,13585,119158.79,82,478,968.38,Estimated (Region),11173
2018,4,Europe,Model X,21473,24427,78461.34,60,334,1075.8,Interpolated (Month),11576
2025,1,Middle East,Model S,9133,10371,113498.22,60,350,479.48,Official (Quarter),14114
2025,4,Europe,Model Y,12364,13649,110733.32,82,466,864.24,Official (Quarter),3518
2018,4,Asia,Model S,6475,7117,94359.81,120,695,675.02,Official (Quarter),3194
2024,7,Middle East,Cybertruck,11767,12485,68338.29,82,491,866.64,Estimated (Region),12566
2021,2,Europe,Model X,11811,13576,102555.32,82,477,845.08,Interpolated (Month),7263
2022,10,Europe,Model Y,15676,17413,93764.81,75,449,1055.78,Estimated (Region),9403
2016,7,Europe,Model 3,18246,20097,106349.23,75,422,1154.97,Estimated (Region),12900
2021,4,Europe,Cybertruck,11441,11747,55571.17,60,358,614.38,Interpolated (Month),6127
2017,4,Middle East,Model S,5656,5846,96413.3,120,704,597.27,Estimated (Region),13181
2020,10,Europe,Cybertruck,11466,11648,84494.69,60,334,574.45,Official (Quarter),14739
2022,9,North America,Cybertruck,1726,1857,51678.28,82,463,119.87,Interpolated (Month),12838
2020,12,Europe,Model X,1598,1741,106523.46,60,333,79.82,Official (Quarter),7767
2021,6,Middle East,Model Y,3973,4376,70270.79,100,578,344.46,Estimated (Region),3790
2015,11,North America,Model Y,15813,16654,70106.73,100,564,1337.78,Interpolated (Month),5803
2019,5,Middle East,Model X,12584,13581,82708.27,60,333,628.57,Interpolated (Month),10794
2022,11,North America,Model S,4638,5271,62220.88,60,338,235.15,Interpolated (Month),9202
2015,7,North America,Model S,7413,7546,112336.91,82,475,528.18,Official (Quarter),11149
2016,3,North America,Model Y,1386,1511,96774.9,100,580,120.58,Estimated (Region),8561
2017,5,Middle East,Model S,11634,12912,78316.92,60,332,579.37,Official (Quarter),12405
2021,1,Asia,Model S,6231,7073,77803.08,60,337,314.98,Interpolated (Month),8380
2022,1,Asia,Model X,12858,14363,102880.61,120,696,1342.38,Official (Quarter),10521
2021,7,Middle East,Model Y,16161,16229,107997.12,75,442,1071.47,Official (Quarter),6108
2016,2,Middle East,Model S,11459,11511,115166.41,120,701,1204.91,Official (Quarter),11118
2023,3,Asia,Model 3,13511,14683,98246.08,60,333,674.87,Interpolated (Month),12853
2016,1,Middle East,Model 3,14314,16247,79520.46,100,563,1208.82,Interpolated (Month),10108
2016,7,North America,Model S,9463,10543,52471.79,75,440,624.56,Official (Quarter),5429
2019,3,Asia,Model S,6614,6653,51529.27,120,706,700.42,Interpolated (Month),4613
2025,1,Asia,Model 3,15910,17075,68122.21,82,481,1147.91,Official (Quarter),11659
2022,1,North America,Cybertruck,17648,18986,107197.15,75,444,1175.36,Interpolated (Month),10387
2017,8,Europe,Cybertruck,10232,11717,54659.53,60,349,535.65,Interpolated (Month),3889
2020,11,Europe,Model X,8939,9066,118310.96,100,564,756.24,Estimated (Region),8085
2022,3,North America,Model 3,6634,7029,89992.4,60,358,356.25,Estimated (Region),9200
2019,1,Asia,Model S,4532,4860,80040.46,120,664,451.39,Estimated (Region),4273
2016,3,Europe,Model 3,15537,17431,100268.62,100,597,1391.34,Interpolated (Month),3218
2019,4,Europe,Cybertruck,10842,12009,76043.05,120,665,1081.49,Estimated (Region),8494
2018,8,Europe,Model X,15325,15719,86265.42,82,459,1055.13,Interpolated (Month),6399
2023,3,Asia,Model Y,9545,10805,112142.75,82,490,701.56,Estimated (Region),13412
2025,6,North America,Cybertruck,8313,8403,89817.31,75,433,539.93,Interpolated (Month),13199
2016,10,North America,Model Y,8787,9766,53370.0,120,714,941.09,Official (Quarter),13227
2023,5,Middle East,Model X,6438,6827,64542.45,100,582,562.04,Interpolated (Month),13454
2022,4,Europe,Model X,7427,7905,78551.94,75,416,463.44,Estimated (Region),11113
2023,1,Middle East,Model S,7039,7539,77416.66,60,357,376.94,Interpolated (Month),4507
2015,9,North America,Model X,7705,7747,83044.69,82,474,547.83,Official (Quarter),3788
2015,4,Europe,Model S,10522,11561,61405.41,82,453,714.97,Estimated (Region),10709
2022,8,Middle East,Model S,11018,11192,96536.54,100,564,932.12,Official (Quarter),5387
2021,11,Middle East,Model 3,10128,11258,85225.34,120,664,1008.75,Official (Quarter),11682
2018,2,North America,Model X,3942,4239,101204.05,120,717,423.96,Official (Quarter),5645
2020,7,Middle East,Cybertruck,20003,22003,69900.18,60,347,1041.16,Interpolated (Month),10041
2023,9,Asia,Model 3,13194,14916,75161.15,82,488,965.8,Official (Quarter),11383
2015,12,Asia,Model S,5915,5988,97634.95,82,477,423.22,Official (Quarter),6279
2022,4,Middle East,Model 3,5781,6585,81786.76,120,704,610.47,Estimated (Region),7406
2023,1,Europe,Cybertruck,9902,10828,82222.5,60,331,491.63,Estimated (Region),3173
2020,7,North America,Model 3,15597,17814,83261.96,75,424,991.97,Estimated (Region),12195
2021,7,North America,Model Y,477,539,63480.71,82,455,32.56,Official (Quarter),13773
2025,6,North America,Model Y,15994,16261,63100.15,60,345,827.69,Estimated (Region),13189
2018,9,Europe,Cybertruck,13280,14227,109436.86,60,341,679.27,Official (Quarter),5019
2020,3,Middle East,Model S,10855,11166,105335.95,75,429,698.52,Estimated (Region),6619
2020,10,Asia,Model Y,13412,14022,75380.82,75,414,832.89,Official (Quarter),14872
2016,7,Asia,Cybertruck,10563,11036,115847.55,120,675,1069.5,Estimated (Region),8155
2023,8,Middle East,Model S,14551,16389,66100.03,100,550,1200.46,Interpolated (Month),10815
2025,8,Europe,Model Y,11152,11731,104207.9,75,422,705.92,Estimated (Region),6943
2020,10,North America,Model X,11801,12368,88663.66,60,331,585.92,Interpolated (Month),3526
2016,3,Middle East,Model X,7228,7951,56687.47,120,697,755.69,Interpolated (Month),8421
2017,6,Middle East,Model Y,10303,10612,93174.85,100,587,907.18,Official (Quarter),11855
2021,11,Asia,Model 3,9950,10746,60068.41,75,412,614.91,Estimated (Region),12697
2018,2,Asia,Model 3,12334,14166,51803.87,82,475,878.8,Interpolated (Month),10914
2015,5,Middle East,Cybertruck,7602,8738,88880.22,120,706,805.05,Official (Quarter),14337
2021,6,Asia,Model S,5451,5887,107666.12,60,333,272.28,Interpolated (Month),14316
2020,7,Asia,Cybertruck,12018,12650,76376.74,100,576,1038.36,Estimated (Region),3002
2018,1,Middle East,Model 3,8629,9169,58145.09,120,696,900.87,Official (Quarter),14261
2019,5,Asia,Model S,7384,7641,84440.12,100,565,625.79,Official (Quarter),5181
2020,10,North America,Model S,10348,10789,53294.28,100,583,904.93,Interpolated (Month),13353
2017,3,Europe,Cybertruck,15491,16526,64642.98,100,552,1282.65,Interpolated (Month),13123
2020,9,Middle East,Cybertruck,7584,8336,80383.42,100,590,671.18,Estimated (Region),13866
2018,7,Europe,Model S,12659,12998,105825.98,60,350,664.6,Estimated (Region),9563
2024,9,North America,Model 3,19606,21050,97773.53,100,555,1632.2,Interpolated (Month),6940
2017,8,Middle East,Model 3,11639,12722,101957.72,75,418,729.77,Estimated (Region),5339
2024,9,North America,Model Y,4373,4733,68988.8,120,696,456.54,Interpolated (Month),14726
2015,10,Europe,Model S,20529,20625,68358.48,120,695,2140.15,Estimated (Region),3617
2023,8,North America,Model S,10325,10679,58513.6,82,465,720.17,Official (Quarter),6065
2021,9,Europe,Model X,7322,7942,110107.04,82,455,499.73,Estimated (Region),12427
2024,5,Asia,Model S,10131,10941,57004.53,100,579,879.88,Interpolated (Month),12340
2018,10,North America,Model Y,9362,10646,109071.56,60,352,494.31,Interpolated (Month),5013
2022,9,North America,Model X,13861,14807,98865.2,120,683,1420.06,Interpolated (Month),4918
2023,1,Europe,Model S,12892,13400,52502.39,82,479,926.29,Interpolated (Month),8905
2024,8,North America,Cybertruck,8278,9039,69077.18,100,563,699.08,Estimated (Region),4362
2020,2,Middle East,Model 3,9463,10065,100028.73,82,475,674.24,Interpolated (Month),6587
2017,2,Asia,Model 3,5991,6294,51352.93,75,417,374.74,Estimated (Region),7963
2023,7,Asia,Model 3,12374,13714,55953.05,75,420,779.56,Estimated (Region),3105
2020,4,Europe,Model S,14810,16490,105589.42,75,431,957.47,Official (Quarter),13736
2021,6,Asia,Cybertruck,4618,5183,106179.25,120,689,477.27,Official (Quarter),6581
2024,3,Europe,Model 3,13755,14448,70602.52,75,445,918.15,Official (Quarter),12563
2017,7,Europe,Model X,8880,9964,97959.4,82,455,606.06,Official (Quarter),6470
2025,8,Asia,Model 3,9563,10105,102342.21,82,488,700.01,Estimated (Region),12059
2019,3,North America,Cybertruck,12106,13118,53822.72,75,448,813.52,Official (Quarter),9151
2015,8,Asia,Model 3,10516,11614,114574.96,100,585,922.78,Interpolated (Month),4830
2022,3,Middle East,Model X,11191,12382,116541.44,120,674,1131.41,Estimated (Region),11953
2016,8,North America,Model 3,11469,11581,84129.98,120,662,1138.87,Official (Quarter),3751
2023,5,Asia,Cybertruck,8494,9483,93809.27,120,684,871.48,Interpolated (Month),6048
2018,1,Asia,Model 3,8115,9095,72972.56,75,420,511.24,Estimated (Region),4016
2019,5,North America,Model 3,6829,7204,77364.22,120,718,735.48,Official (Quarter),14455
2020,3,North America,Model 3,10391,11708,105935.75,120,690,1075.47,Official (Quarter),5794
2025,1,Europe,Model 3,14788,15440,103431.57,60,352,780.81,Official (Quarter),5949
2015,2,North America,Model Y,8689,8698,85752.31,120,685,892.79,Estimated (Region),5665
2015,8,Middle East,Model Y,787,894,75367.57,75,434,51.23,Estimated (Region),10587
2022,1,North America,Model 3,10388,10764,111340.46,60,330,514.21,Interpolated (Month),11789
2023,12,North America,Model X,11355,11397,76378.49,75,446,759.65,Estimated (Region),6295
2016,5,Asia,Model 3,364,393,65064.13,120,660,36.04,Interpolated (Month),5894
2024,8,Europe,Model X,10413,10457,51043.72,60,333,520.13,Official (Quarter),6019
2025,7,North America,Model Y,12448,12992,66408.4,60,345,644.18,Estimated (Region),4370
2023,5,North America,Model X,9251,9823,103497.19,82,474,657.75,Interpolated (Month),3852
2016,11,North America,Cybertruck,9155,10186,54970.54,82,454,623.46,Interpolated (Month),7257
2025,10,Europe,Model X,9986,10201,96271.89,60,349,522.77,Estimated (Region),13175
2021,9,North America,Model X,3727,3854,50806.82,120,667,372.89,Official (Quarter),6711
2018,11,Asia,Model X,7901,8031,111857.88,82,465,551.09,Interpolated (Month),11206
2017,9,North America,Model X,12043,13481,69036.22,120,701,1266.32,Estimated (Region),6168
2024,10,Asia,Model S,10792,10895,100028.12,82,472,764.07,Interpolated (Month),13810
2016,4,Asia,Model 3,8734,9416,93651.0,60,332,434.95,Official (Quarter),12063
2016,6,Asia,Model 3,7667,8535,82237.76,60,355,408.27,Estimated (Region),11741
2017,4,Europe,Model Y,9489,10197,64327.61,60,347,493.9,Estimated (Region),5233
2021,4,Asia,Model 3,11991,12463,58532.24,120,690,1241.07,Official (Quarter),10023
2023,1,Asia,Model X,10406,11745,77396.47,60,356,555.68,Estimated (Region),5882
2023,9,Middle East,Model 3,12121,13398,52940.4,120,714,1298.16,Estimated (Region),8813
2023,11,Middle East,Model X,10530,10951,80810.09,75,442,698.14,Interpolated (Month),10316
2016,4,Europe,Model 3,14910,17133,96328.74,100,577,1290.46,Estimated (Region),11767
2016,3,Europe,Model X,12255,12614,50529.4,75,436,801.48,Estimated (Region),13776
2017,11,Asia,Cybertruck,7450,7962,74585.36,120,665,743.14,Interpolated (Month),8833
2023,1,Middle East,Model Y,8340,9123,100931.53,100,583,729.33,Estimated (Region),8646
2017,8,Asia,Model S,14800,15762,119802.76,82,473,1050.06,Estimated (Region),6853
2025,4,Asia,Model S,8531,9254,94611.34,120,704,900.87,Interpolated (Month),5172
2023,6,North America,Model 3,9176,10500,95752.21,82,485,667.55,Official (Quarter),9302
2019,7,Asia,Cybertruck,11985,13202,97786.98,60,348,625.62,Estimated (Region),6193
2022,9,Europe,Model X,8462,9003,88641.27,60,336,426.48,Official (Quarter),11922
2022,2,Asia,Cybertruck,6490,6571,53659.35,60,337,328.07,Interpolated (Month),3890
2020,11,Middle East,Model Y,7457,7607,95132.97,75,425,475.38,Official (Quarter),11495
2023,12,Asia,Model X,8534,8672,85621.34,75,429,549.16,Official (Quarter),14418
2024,5,Europe,Model X,8375,9325,71668.72,82,488,613.05,Estimated (Region),10880
2019,1,Middle East,Model Y,9910,11266,92725.41,60,346,514.33,Official (Quarter),5996
2023,3,Middle East,Model X,4694,4872,110345.89,82,487,342.9,Official (Quarter),5329
2025,10,North America,Model Y,5998,6291,59349.08,60,344,309.5,Interpolated (Month),11960
2021,1,Middle East,Model X,7651,8241,64010.79,75,424,486.6,Interpolated (Month),10101
2021,9,Asia,Model 3,7479,7809,51068.54,82,460,516.05,Interpolated (Month),6383
2015,1,Asia,Model Y,12446,13885,55183.13,60,340,634.75,Official (Quarter),4390
2018,8,Asia,Model Y,9090,9771,97242.52,82,460,627.21,Interpolated (Month),12096
2019,7,Europe,Model X,8165,8713,78383.02,60,359,439.69,Official (Quarter),6506
2018,5,Europe,Model Y,16359,17254,94867.59,82,470,1153.31,Official (Quarter),5279
2024,7,North America,Model X,14181,15135,118547.38,82,490,1042.3,Estimated (Region),6949
2017,2,Asia,Cybertruck,12861,13866,118320.97,75,417,804.46,Interpolated (Month),3203
2016,9,Europe,Cybertruck,12186,13009,102417.84,75,436,796.96,Interpolated (Month),10451
2020,1,Middle East,Model 3,12862,12915,67265.95,100,572,1103.56,Estimated (Region),10542
2016,4,Asia,Model Y,9390,9760,75209.55,75,415,584.53,Interpolated (Month),14243
2023,8,Asia,Model 3,9162,9238,69917.84,120,709,974.38,Official (Quarter),3958
2019,3,Middle East,Model X,7494,7784,72152.0,120,665,747.53,Estimated (Region),6638
2018,9,Asia,Model S,10714,11018,100426.88,82,471,756.94,Official (Quarter),10251
2019,5,North America,Cybertruck,5490,5540,99109.57,75,412,339.28,Official (Quarter),7910
2019,8,Europe,Model S,7717,8834,114107.0,100,575,665.59,Official (Quarter),12541
2016,8,North America,Model X,303,318,112988.33,60,330,15.0,Official (Quarter),10965
2024,7,Asia,Model 3,5162,5789,80595.47,75,417,322.88,Official (Quarter),9773
2022,7,Asia,Model Y,8140,8786,77684.24,120,679,829.06,Estimated (Region),10324
2018,9,Asia,Model 3,14916,15947,108009.63,75,443,991.17,Official (Quarter),11512
2019,4,Europe,Model X,12794,14038,85776.57,60,343,658.25,Interpolated (Month),14603
2019,9,North America,Cybertruck,3533,4017,73478.48,60,358,189.72,Interpolated (Month),9396
2018,7,Middle East,Cybertruck,15866,17292,85959.55,100,564,1342.26,Official (Quarter),3077
2024,11,Middle East,Model Y,5203,5352,95729.01,82,453,353.54,Official (Quarter),6760
2018,6,Middle East,Cybertruck,10527,10795,58886.11,75,417,658.46,Official (Quarter),9222
2016,2,North America,Model Y,14643,15161,55144.77,100,558,1225.62,Estimated (Region),9237
2019,5,Middle East,Model S,18391,19591,70485.86,60,346,954.49,Interpolated (Month),4600
2024,7,Europe,Model S,2561,2848,89562.13,60,343,131.76,Estimated (Region),6711
2018,12,Europe,Model S,14006,15697,109152.78,75,427,897.08,Official (Quarter),3615
2016,9,Middle East,Model S,10718,11136,113503.65,60,350,562.69,Official (Quarter),9725
2015,12,North America,Model X,10764,11784,68186.25,60,349,563.5,Estimated (Region),9479
2016,6,Middle East,Model Y,9163,10262,64282.49,100,577,793.06,Estimated (Region),11796
2020,6,Europe,Model X,13212,15110,55439.87,100,576,1141.52,Interpolated (Month),6640
2024,7,Asia,Model S,6295,6909,102989.63,75,440,415.47,Estimated (Region),9118
2015,1,Europe,Model Y,10835,11723,62939.81,120,718,1166.93,Official (Quarter),12301
2022,3,North America,Model Y,15239,17202,65984.89,75,420,960.06,Official (Quarter),5414
2023,9,North America,Cybertruck,16468,17844,109706.93,82,463,1143.7,Interpolated (Month),9284
2016,4,Middle East,Model 3,10327,10916,111458.2,120,712,1102.92,Estimated (Region),12671
2022,1,Europe,Model Y,4983,5420,81003.99,60,331,247.41,Interpolated (Month),6835
2016,4,North America,Cybertruck,10136,10238,106024.96,82,460,699.38,Official (Quarter),9480
2016,10,Europe,Model X,14647,14853,113673.88,75,437,960.11,Interpolated (Month),12951
2021,11,North America,Model 3,10035,10461,98072.9,82,478,719.51,Estimated (Region),5657
2015,6,Europe,Model S,15474,16287,91294.24,82,467,1083.95,Official (Quarter),8249
2021,11,Middle East,Cybertruck,11027,11391,77197.18,120,711,1176.03,Official (Quarter),11693
2015,7,North America,Model 3,5673,6344,84890.95,100,554,471.43,Estimated (Region),9445
2019,3,Europe,Model S,8090,8442,82858.48,60,355,430.79,Estimated (Region),6658
2022,3,Asia,Model X,14748,15047,70390.56,60,334,738.87,Interpolated (Month),12734
2025,7,Europe,Model S,7263,7826,64941.35,120,692,753.9,Official (Quarter),13024
2018,12,Middle East,Model Y,18736,19288,64822.21,120,662,1860.48,Estimated (Region),6864
2021,2,Asia,Model X,10288,11101,59878.83,60,330,509.26,Estimated (Region),12721
2023,3,Middle East,Cybertruck,13992,15052,95339.64,75,431,904.58,Interpolated (Month),8901
2024,3,Middle East,Model X,8095,8115,107035.44,60,340,412.84,Interpolated (Month),9965
2021,1,Asia,Model Y,14376,16294,80830.42,82,487,1050.17,Estimated (Region),12008
2015,6,Middle East,Model S,10855,12167,102378.18,100,559,910.19,Estimated (Region),5512
2019,7,Asia,Model Y,11376,11660,114661.2,75,443,755.94,Estimated (Region),7248
2018,2,North America,Cybertruck,4922,5477,87190.58,60,350,258.4,Interpolated (Month),8141
2023,12,Middle East,Model X,10739,11242,62476.32,82,486,782.87,Interpolated (Month),7842
2022,3,Middle East,Model Y,3025,3377,88655.56,100,583,264.54,Official (Quarter),6874
2025,4,Europe,Cybertruck,9374,10743,51202.11,82,489,687.58,Official (Quarter),7424
2021,10,North America,Model 3,9412,10170,51575.3,75,429,605.66,Official (Quarter),12376
2025,10,Middle East,Model S,8179,8289,70058.32,75,448,549.63,Official (Quarter),9702
2018,11,Europe,Model X,14686,16707,112122.83,60,348,766.61,Estimated (Region),12699
2020,10,Asia,Model 3,5067,5275,112142.61,60,331,251.58,Interpolated (Month),13964
2017,10,Asia,Model X,9176,9273,64755.52,60,336,462.47,Official (Quarter),8629
2025,3,North America,Model S,10136,10478,78754.4,60,356,541.26,Official (Quarter),9330
2019,8,Middle East,Model 3,15767,16107,50603.33,75,413,976.77,Estimated (Region),10039
2022,8,Asia,Model S,9887,10191,101605.94,60,350,519.07,Estimated (Region),5955
2016,4,Europe,Cybertruck,6317,7033,74330.01,100,583,552.42,Official (Quarter),12545
2017,6,Asia,Model 3,8663,8673,80350.8,60,332,431.42,Official (Quarter),11980
2016,12,North America,Model X,12787,13943,107869.52,120,719,1379.08,Estimated (Region),6460
2019,7,Middle East,Model X,6486,6723,105898.91,82,455,442.67,Estimated (Region),12368
2015,3,Europe,Model S,11929,11956,114982.3,120,685,1225.7,Official (Quarter),14599
2018,9,Europe,Model Y,5427,6137,61820.09,120,663,539.72,Interpolated (Month),11609
2020,8,Middle East,Model S,13881,14957,113565.86,120,708,1474.16,Interpolated (Month),3789
2021,12,Asia,Model 3,4856,4919,96772.65,60,356,259.31,Estimated (Region),3693
2017,4,Asia,Model X,2885,3069,52629.98,120,667,288.64,Estimated (Region),12186
2015,5,Europe,Model X,16130,16670,117425.58,75,412,996.83,Interpolated (Month),14638
2017,11,Asia,Model S,5580,5893,105841.26,100,568,475.42,Estimated (Region),4044
2024,12,Asia,Model X,18088,18840,83312.48,100,573,1554.66,Estimated (Region),7661
